"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","geneSymbol"
"ENSG00000229767",3.50544142066552,0.584417571782612,2.45757748421201,0.237802297399384,0.812034436713176,0.895823082674294,"DDR1"
"ENSG00000229769",0,NA,NA,NA,NA,NA,"TRBV10-2"
"ENSG00000229781",0.361137243639882,-2.03952390725131,4.03441853825149,-0.505531066723493,0.613185883995017,NA,"RRN3P4"
"ENSG00000229785",0,NA,NA,NA,NA,NA,"SLC25A38P1"
"ENSG00000229786",0,NA,NA,NA,NA,NA,"SNRPFP2"
"ENSG00000229794",4.06513125142528,0.467575216575841,1.60172340652712,0.291920074758502,0.770347734246107,0.871604280163625,"MTCYBP32"
"ENSG00000229798",1.12130195106193,1.19615156120437,2.90033116872867,0.412418958945538,0.680032369346902,NA,"KRT18P26"
"ENSG00000229800",0.16903338623383,-1.10546491827819,4.0804728567969,-0.270915885750055,0.78645572671682,NA,"ATP8A2P2"
"ENSG00000229802",1782.07052972687,-0.201018390590216,0.124472737678085,-1.61495918174545,0.106319534621042,0.21420558133694,"SLC39A7"
"ENSG00000229806",0.330064816979751,-0.147571356742074,4.0804728567969,-0.0361652587631509,0.97115058734835,NA,"RPS15P5"
"ENSG00000229808",0,NA,NA,NA,NA,NA,""
"ENSG00000229809",77.757524843434,-0.313044703686435,0.306533182085974,-1.021242468943,0.307139575956535,0.479835271595099,"ZNF688"
"ENSG00000229814",0.180568621819941,-1.10546491827819,4.0804728567969,-0.270915885750055,0.78645572671682,NA,"RPL35AP21"
"ENSG00000229815",0.176119383154083,-1.10546491827819,4.0804728567969,-0.270915885750055,0.78645572671682,NA,"CCNB1IP1P1"
"ENSG00000229816",55.1561991724372,0.024081591556279,0.452961955995315,0.0531647111584975,0.957600672248648,0.975850542837071,"DDX50P1"
"ENSG00000229817",0.491391651976585,0.775603942087872,4.03589208337039,0.192176581054705,0.847603889594828,NA,""
"ENSG00000229820",7.7445054680101,0.319006406457854,0.985980450118039,0.323542324211056,0.746284559521904,0.854501847752747,"DNAJC8P4"
"ENSG00000229822",0,NA,NA,NA,NA,NA,"RPS15AP39"
"ENSG00000229824",0,NA,NA,NA,NA,NA,"RPL12P34"
"ENSG00000229826",0,NA,NA,NA,NA,NA,""
"ENSG00000229827",0,NA,NA,NA,NA,NA,""
"ENSG00000229828",1.68518120024735,-0.689526933238453,2.02586566905298,-0.340361626030606,0.733584213396728,0.846040047294333,"PDE4DIPP1"
"ENSG00000229829",0,NA,NA,NA,NA,NA,"DUTP4"
"ENSG00000229830",0,NA,NA,NA,NA,NA,""
"ENSG00000229831",0,NA,NA,NA,NA,NA,""
"ENSG00000229833",208.538117911884,-0.717727811781806,0.232920953711671,-3.0814222608339,0.00206014263923659,0.00723452952296513,"PET100"
"ENSG00000229834",0,NA,NA,NA,NA,NA,""
"ENSG00000229835",0.160996252321322,0.818088433364298,4.0804728567969,0.200488635036892,0.841098445487397,NA,"KHSRPP1"
"ENSG00000229840",0,NA,NA,NA,NA,NA,"ISCA1P2"
"ENSG00000229842",0,NA,NA,NA,NA,NA,"MTATP6P13"
"ENSG00000229849",0,NA,NA,NA,NA,NA,"PYHIN5P"
"ENSG00000229853",0,NA,NA,NA,NA,NA,""
"ENSG00000229856",0,NA,NA,NA,NA,NA,"CYP21A1P"
"ENSG00000229857",0,NA,NA,NA,NA,NA,""
"ENSG00000229858",0,NA,NA,NA,NA,NA,""
"ENSG00000229859",0.722274487279765,-3.04211631989817,3.97099256198947,-0.766084617991343,0.443625954877375,NA,"PGA3"
"ENSG00000229863",0.645671995907044,1.29387614843506,3.53186658364573,0.366343438460087,0.714108819885739,NA,"RPL19P2"
"ENSG00000229865",0,NA,NA,NA,NA,NA,"RPL31P54"
"ENSG00000229870",0,NA,NA,NA,NA,NA,"RPL21P89"
"ENSG00000229871",0.320099208455867,1.72568038951485,4.03672255493345,0.42749541640057,0.669018522941547,NA,"RPSAP20"
"ENSG00000229875",0.618956584105324,2.681205033577,3.97430699212648,0.674634606458118,0.499907940644718,NA,"EIF1P1"
"ENSG00000229878",0,NA,NA,NA,NA,NA,""
"ENSG00000229880",0.154739146026331,0.818088433364298,4.0804728567969,0.200488635036892,0.841098445487397,NA,"IMMTP1"
"ENSG00000229885",0,NA,NA,NA,NA,NA,""
"ENSG00000229886",0,NA,NA,NA,NA,NA,""
"ENSG00000229887",0,NA,NA,NA,NA,NA,"HNRNPA1P6"
"ENSG00000229890",0,NA,NA,NA,NA,NA,"ACTP1"
"ENSG00000229892",0,NA,NA,NA,NA,NA,""
"ENSG00000229897",0.180568621819941,-1.10546491827819,4.0804728567969,-0.270915885750055,0.78645572671682,NA,"SEPTIN7P7"
"ENSG00000229898",0,NA,NA,NA,NA,NA,"ZDHHC20P1"
"ENSG00000229899",0,NA,NA,NA,NA,NA,""
"ENSG00000229900",0,NA,NA,NA,NA,NA,"HSPD1P21"
"ENSG00000229906",0,NA,NA,NA,NA,NA,"SNRPGP11"
"ENSG00000229907",0,NA,NA,NA,NA,NA,"DEFB108A"
"ENSG00000229909",0,NA,NA,NA,NA,NA,"TRIM60P16"
"ENSG00000229910",0.154739146026331,0.818088433364298,4.0804728567969,0.200488635036892,0.841098445487397,NA,"HNRNPA1P18"
"ENSG00000229911",0,NA,NA,NA,NA,NA,""
"ENSG00000229914",0,NA,NA,NA,NA,NA,""
"ENSG00000229917",6.26620413659852,0.463715395652343,1.01893704694242,0.455097198638365,0.649039313311669,0.788294041320541,"RPL7P46"
"ENSG00000229919",0,NA,NA,NA,NA,NA,"ELOCP3"
"ENSG00000229920",0,NA,NA,NA,NA,NA,"RPS4XP5"
"ENSG00000229924",0.492976557099528,0.721712579440187,4.03847193485595,0.178709321516166,0.858165949506732,NA,"FAM90A26"
"ENSG00000229926",0.180568621819941,-1.10546491827819,4.0804728567969,-0.270915885750055,0.78645572671682,NA,"IL9RP1"
"ENSG00000229927",0.482988756963965,2.31889894403634,3.99338048344072,0.580685700661902,0.561452300751357,NA,"RHEBP1"
"ENSG00000229930",0.160996252321322,0.818088433364297,4.0804728567969,0.200488635036892,0.841098445487397,NA,""
"ENSG00000229932",0.710625771775424,-3.01949883982173,3.34705891475566,-0.902134953917343,0.366985182905037,NA,"YWHAZP3"
"ENSG00000229935",0,NA,NA,NA,NA,NA,"MTCYBP9"
"ENSG00000229937",0.180568621819941,-1.10546491827819,4.0804728567969,-0.270915885750055,0.78645572671682,NA,"PRPS1L1"
"ENSG00000229939",0,NA,NA,NA,NA,NA,""
"ENSG00000229940",0,NA,NA,NA,NA,NA,"TSPY22P"
"ENSG00000229942",0,NA,NA,NA,NA,NA,"IFITM4P"
"ENSG00000229944",0,NA,NA,NA,NA,NA,"EIF4EP2"
"ENSG00000229946",0,NA,NA,NA,NA,NA,"B3GNT2P1"
"ENSG00000229948",0.154739146026331,0.818088433364298,4.0804728567969,0.200488635036892,0.841098445487397,NA,"B3GALNT1P1"
"ENSG00000229949",0,NA,NA,NA,NA,NA,""
"ENSG00000229954",7.10991070511408,0.159496986510171,0.993460995260439,0.160546802814697,0.872450356422838,0.931785359084141,"MTND2P2"
"ENSG00000229959",0,NA,NA,NA,NA,NA,"HLA-K"
"ENSG00000229961",0,NA,NA,NA,NA,NA,""
"ENSG00000229965",0,NA,NA,NA,NA,NA,"RPS3AP7"
"ENSG00000229968",0,NA,NA,NA,NA,NA,""
"ENSG00000229972",0.352238766308166,-2.00817153188994,4.03717751967615,-0.497419675528913,0.618893133532774,NA,"IQCF3"
"ENSG00000229975",0.154739146026331,0.818088433364298,4.0804728567969,0.200488635036892,0.841098445487397,NA,"LIPT1P1"
"ENSG00000229979",0,NA,NA,NA,NA,NA,"HMGN2P48"
"ENSG00000229982",0,NA,NA,NA,NA,NA,"GTF3AP6"
"ENSG00000229985",0.324971615947975,-0.194238596740447,4.0804728567969,-0.0476019823087172,0.962033452168518,NA,""
"ENSG00000229988",0,NA,NA,NA,NA,NA,"HBBP1"
"ENSG00000229991",3.98542293285937,3.34349235386286,1.68593495838242,1.98316805594375,0.0473486607668535,0.111864489622348,"AKR1B1P1"
"ENSG00000229992",7.66625375790327,-0.27455021582826,0.942178182756577,-0.29139946228111,0.770745825749284,0.871889483842559,"HMGB3P9"
"ENSG00000229994",9.60187446164945,-0.325880202351309,0.926944021223131,-0.351564058767324,0.725165223439634,0.840225397637397,"RPL5P4"
"ENSG00000229995",0,NA,NA,NA,NA,NA,"MICG"
"ENSG00000230003",0,NA,NA,NA,NA,NA,""
"ENSG00000230006",0,NA,NA,NA,NA,NA,"ANKRD36BP2"
"ENSG00000230009",0,NA,NA,NA,NA,NA,"MTCO2P3"
"ENSG00000230011",0,NA,NA,NA,NA,NA,"CTSLP4"
"ENSG00000230012",0,NA,NA,NA,NA,NA,"HTATSF1P1"
"ENSG00000230016",0,NA,NA,NA,NA,NA,"DHFRP2"
"ENSG00000230018",0,NA,NA,NA,NA,NA,"PPIAP39"
"ENSG00000230019",0,NA,NA,NA,NA,NA,"YWHAQP9"
"ENSG00000230021",0,NA,NA,NA,NA,NA,""
"ENSG00000230022",0.160049604227933,0.818088433364297,4.0804728567969,0.200488635036892,0.841098445487397,NA,"FNTAP2"
"ENSG00000230025",0,NA,NA,NA,NA,NA,""
"ENSG00000230029",0.361137243639882,-2.03952390725131,4.03441853825149,-0.505531066723493,0.613185883995017,NA,"CDY11P"
"ENSG00000230031",0,NA,NA,NA,NA,NA,"POTEB2"
"ENSG00000230034",0,NA,NA,NA,NA,NA,"PSMB8"
"ENSG00000230037",0.176119383154083,-1.10546491827819,4.0804728567969,-0.270915885750055,0.78645572671682,NA,"UBBP1"
"ENSG00000230039",0,NA,NA,NA,NA,NA,"CCNYL5"
"ENSG00000230042",8.23531647678336,-1.02750623559461,1.01632474522377,-1.01100188736267,0.312015526466554,0.484831204510356,"AK3P3"
"ENSG00000230043",0,NA,NA,NA,NA,NA,"TMSB4XP6"
"ENSG00000230044",0.160049604227933,0.818088433364297,4.0804728567969,0.200488635036892,0.841098445487397,NA,"CDK8P1"
"ENSG00000230045",0,NA,NA,NA,NA,NA,"FAM90A15"
"ENSG00000230047",0.160996252321322,0.818088433364298,4.0804728567969,0.200488635036892,0.841098445487397,NA,"HIGD2AP1"
"ENSG00000230052",0,NA,NA,NA,NA,NA,"MTND3P2"
"ENSG00000230053",0.180568621819941,-1.10546491827819,4.0804728567969,-0.270915885750055,0.78645572671682,NA,""
"ENSG00000230054",0,NA,NA,NA,NA,NA,"TEX53"
"ENSG00000230060",6.52510247463671,0.259021817649567,1.53047523612631,0.169242736854183,0.865605715464049,0.928423159158584,"MPIG6B"
"ENSG00000230062",1.47287146677529,-1.13514799557291,2.68970440450936,-0.422034478461577,0.672999851440833,NA,"ANKRD66"
"ENSG00000230066",0.154739146026331,0.818088433364298,4.0804728567969,0.200488635036892,0.841098445487397,NA,"FAM197Y3"
"ENSG00000230067",0,NA,NA,NA,NA,NA,"HSPD1P6"
"ENSG00000230069",4.71412483811172,-1.95276240174864,1.92943583187881,-1.01208983967459,0.311495099935695,0.484232554469158,"LRRC37A15P"
"ENSG00000230071",24.3410934231926,-0.0893432546728328,0.588913143940698,-0.151708712213476,0.879416685363309,0.934900456703061,"RPL4P6"
"ENSG00000230072",0,NA,NA,NA,NA,NA,"SFTA2"
"ENSG00000230073",0,NA,NA,NA,NA,NA,""
"ENSG00000230076",0,NA,NA,NA,NA,NA,"RPL10P6"
"ENSG00000230077",4.12567812431393,0.712832710782063,1.41818812694171,0.502636213941003,0.615220063378237,0.763452510931373,"MTAPP2"
"ENSG00000230079",0,NA,NA,NA,NA,NA,"STK24P1"
"ENSG00000230080",0.799035795421343,1.72381263154459,3.77545781484588,0.456583735293294,0.647970271942272,NA,""
"ENSG00000230081",0.51031365297485,-1.02321110185515,3.8616776234579,-0.264965437725724,0.791036087157052,NA,"HSPE1P28"
"ENSG00000230083",0.16903338623383,-1.10546491827819,4.0804728567969,-0.270915885750055,0.78645572671682,NA,""
"ENSG00000230086",0,NA,NA,NA,NA,NA,"VN1R96P"
"ENSG00000230087",0.631611755440279,2.70827819902217,3.97307011055038,0.681658798778912,0.495454725684376,NA,""
"ENSG00000230088",0,NA,NA,NA,NA,NA,"KRT16P5"
"ENSG00000230092",0.541705865459823,-2.62617823398732,3.99222385015198,-0.657823391813898,0.510651621569986,NA,""
"ENSG00000230097",0.65525932130156,1.38457508463344,3.99285228068632,0.346763413044534,0.728769065737929,NA,"ME2P1"
"ENSG00000230099",0.464443318940626,2.26725575171658,3.99658910449842,0.567297686210633,0.570511948779639,NA,"TRBV5-4"
"ENSG00000230101",0,NA,NA,NA,NA,NA,"TUBB3P2"
"ENSG00000230104",0,NA,NA,NA,NA,NA,""
"ENSG00000230106",0,NA,NA,NA,NA,NA,"SNRPCP15"
"ENSG00000230111",0,NA,NA,NA,NA,NA,"H3P11"
"ENSG00000230112",0,NA,NA,NA,NA,NA,""
"ENSG00000230116",0,NA,NA,NA,NA,NA,"RPS3AP11"
"ENSG00000230118",1.08317402218432,3.48759294065009,3.86485895618271,0.902385567025906,0.366852085369699,NA,""
