"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","geneSymbol"
"ENSG00000005022",8004.62880058072,-0.0245185088414365,0.0731053605595998,-0.335385923190236,0.737333985346894,0.914815145875094,"SLC25A5"
"ENSG00000005059",1964.00135845021,0.225379519753871,0.0866338267426943,2.6015186934228,0.00928120067729823,0.0722895447160442,"MCUB"
"ENSG00000005073",0.147554999871547,-0.814209446102245,4.0804728567969,-0.199538013038367,0.841841911053772,NA,"HOXA11"
"ENSG00000005100",4295.22765406351,0.0575325271059452,0.070633355473459,0.814523488517595,0.415345121864837,0.737511606990954,"DHX33"
"ENSG00000005102",0.726892625531573,3.05192092320266,3.75531324903634,0.812694100548287,0.416393464456438,NA,"MEOX1"
"ENSG00000005108",0.334284435349892,-1.77822449276563,4.03192711225774,-0.441035872736768,0.659187027102165,NA,"THSD7A"
"ENSG00000005156",2879.76973165459,0.0201665115032068,0.111450091632605,0.180946567273229,0.856409516701035,0.958329130838772,"LIG3"
"ENSG00000005175",1391.15390146043,0.0579943371729715,0.103868847483492,0.558341972381935,0.576610889045356,0.844246560467568,"RPAP3"
"ENSG00000005187",20.7018556339643,-0.787428440663859,0.603682915902786,-1.30437423342731,0.192106016054398,0.510996308800056,"ACSM3"
"ENSG00000005189",113.995989025332,-0.0926342771427161,0.343543553699376,-0.269643473571847,0.787434551609507,0.934852756373082,"REXO5"
"ENSG00000005194",1733.72006376997,0.0864680474136575,0.0874721204538976,0.988521222133065,0.322897446184467,0.662490523301303,"CIAPIN1"
"ENSG00000005206",647.775979553165,0.0278248693753468,0.136994071300017,0.203110025939811,0.83904903549388,0.952628487445048,"SPPL2B"
"ENSG00000005238",577.180972086542,-0.720498014555512,0.134907508668257,-5.34068134285426,9.25978974849952e-08,3.75835787932817e-06,"ATOSB"
"ENSG00000005243",1.4551705384336,-0.739830078510868,2.1356317593558,-0.346422118546332,0.729025504811406,NA,"COPZ2"
"ENSG00000005302",1005.85965838787,0.145747969802152,0.124428555941581,1.1713385942579,0.241462704030173,0.577351764491328,"MSL3"
"ENSG00000005339",4173.03586088763,-0.191934587863595,0.095913854051348,-2.00111433079149,0.0453800703135113,0.216244736237304,"CREBBP"
"ENSG00000005379",24.0461493820208,0.848804757018258,0.864592814266845,0.981739314752489,0.326228291615089,0.665770773996021,"TSPOAP1"
"ENSG00000005381",1.72692703802993,1.42607385613151,2.24370472796809,0.635588916115074,0.525044395676291,NA,"MPO"
"ENSG00000005421",5.99055175946817,5.31261563113809,1.69183618820142,3.14014776855312,0.00168862635319846,0.0199693046190102,"PON1"
"ENSG00000005436",1372.11201325922,0.210705287408013,0.122756708449004,1.71644621357329,0.0860804043685217,0.321587153600624,"GCFC2"
"ENSG00000005448",945.461575793146,-0.158743398033864,0.110136952726111,-1.44132731208414,0.149492234781813,0.445882119768354,"WDR54"
"ENSG00000005469",246.638508505285,0.0492241855380853,0.192390082312972,0.255856148852878,0.798061915921808,0.938888097781382,"CROT"
