##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	MLH1KO-1_S1_L002_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	65245604
Total Bases	9.8 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.92764153122101	40.0	40.0	40.0	40.0	40.0
2	39.421200852091125	40.0	40.0	40.0	40.0	40.0
3	39.43700439956077	40.0	40.0	40.0	40.0	40.0
4	39.426735018040446	40.0	40.0	40.0	40.0	40.0
5	39.36635571647095	40.0	40.0	40.0	40.0	40.0
6	39.356852976638855	40.0	40.0	40.0	40.0	40.0
7	39.34477102855849	40.0	40.0	40.0	40.0	40.0
8	39.3666283478654	40.0	40.0	40.0	40.0	40.0
9	39.36983003483269	40.0	40.0	40.0	40.0	40.0
10-14	39.42457693854747	40.0	40.0	40.0	40.0	40.0
15-19	39.57904430159003	40.0	40.0	40.0	40.0	40.0
20-24	39.582187808392426	40.0	40.0	40.0	40.0	40.0
25-29	39.4085941115665	40.0	40.0	40.0	40.0	40.0
30-34	39.35678903363359	40.0	40.0	40.0	40.0	40.0
35-39	39.37310213267395	40.0	40.0	40.0	40.0	40.0
40-44	39.31416089887067	40.0	40.0	40.0	40.0	40.0
45-49	39.30672463389258	40.0	40.0	40.0	40.0	40.0
50-54	39.297447153681034	40.0	40.0	40.0	40.0	40.0
55-59	39.27826847001064	40.0	40.0	40.0	40.0	40.0
60-64	39.29061413547494	40.0	40.0	40.0	40.0	40.0
65-69	39.269008670683775	40.0	40.0	40.0	40.0	40.0
70-74	39.2711204512721	40.0	40.0	40.0	40.0	40.0
75-79	39.26903513683466	40.0	40.0	40.0	40.0	40.0
80-84	39.25018104208216	40.0	40.0	40.0	40.0	40.0
85-89	39.22067623743662	40.0	40.0	40.0	40.0	40.0
90-94	39.19568145004835	40.0	40.0	40.0	40.0	40.0
95-99	39.16460874820011	40.0	40.0	40.0	40.0	40.0
100-104	39.12900728147141	40.0	40.0	40.0	40.0	40.0
105-109	39.1059819876907	40.0	40.0	40.0	40.0	40.0
110-114	39.08222592896833	40.0	40.0	40.0	40.0	40.0
115-119	39.05172290228167	40.0	40.0	40.0	40.0	40.0
120-124	39.0215959438432	40.0	40.0	40.0	40.0	40.0
125-129	38.985793513383676	40.0	40.0	40.0	40.0	40.0
130-134	38.93541310154781	40.0	40.0	40.0	40.0	40.0
135-139	38.89078231845321	40.0	40.0	40.0	40.0	40.0
140-144	38.83207332098574	40.0	40.0	40.0	40.0	40.0
145-149	38.751844541128015	40.0	40.0	40.0	40.0	40.0
150-151	38.52432844364503	40.0	40.0	40.0	40.0	40.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1103	30-34	-0.033999958319384405
1103	35-39	-0.022985408393950024
1103	40-44	-0.009232301519666919
1103	45-49	-0.030628823033318042
1103	50-54	-0.03135850096694526
1103	55-59	2.3913753778970204E-5
1103	60-64	-0.025719605314456828
1103	65-69	-0.036672373108210365
1103	70-74	-0.029927693418635215
1103	75-79	-0.03273315271805188
1103	80-84	-0.042377619376225084
1103	85-89	-0.015612253265850029
1103	90-94	-0.020369313162163394
1103	95-99	-0.004667517661182785
1103	100-104	-0.0030412030623665487
1103	105-109	0.010762376307297927
1103	110-114	-0.016864358873462493
1103	115-119	0.004035216046254675
1103	120-124	0.024677786737278495
1103	125-129	0.06767220685084396
1103	130-134	0.029168995201274583
1103	135-139	0.10448115895672316
1103	140-144	0.12451200857213252
1103	145-149	0.17278380385665315
1103	150-151	0.2835625629810039
1104	1	-0.246002673534079
1104	2	-0.17204310723671057
1104	3	-0.15882504617955107
1104	4	-0.09275406446650436
1104	5	-0.07492024488056614
1104	6	0.039506964577299186
1104	7	0.050716671957111714
1104	8	0.0875533042055423
1104	9	0.09232914497444256
1104	10-14	0.03031890942243365
1104	15-19	-0.021651661429679336
1104	20-24	-0.008478172096914705
1104	25-29	-0.046020576411848424
1104	30-34	-0.057785276514351835
1104	35-39	-0.08778731633558579
1104	40-44	-0.04662435630277173
1104	45-49	-0.05876348069745774
1104	50-54	-0.05023207770091176
1104	55-59	-0.035406348700099954
1104	60-64	-0.030839394204136283
1104	65-69	-0.03647888375252961
1104	70-74	-0.04195893087020153
1104	75-79	-0.02789837878863466
1104	80-84	-0.013629873585379926
1104	85-89	-0.036204960976220946
1104	90-94	-0.013877907663726319
1104	95-99	-0.028205334986616037
1104	100-104	-0.02340977069043504
1104	105-109	-0.030390639837150957
1104	110-114	-0.030769567303806866
1104	115-119	-0.04142387556930771
1104	120-124	-0.032575479606833824
1104	125-129	-0.03830853117088395
1104	130-134	-0.013747309953949127
1104	135-139	0.02173335824942768
1104	140-144	0.04666390027851719
1104	145-149	0.11341527485544844
1104	150-151	0.1983141767804355
1105	1	-0.14725139034517554
1105	2	-0.16330808522101847
1105	3	-0.11023531374880235
1105	4	-0.06038891340588748
1105	5	-0.04867331511105277
1105	6	0.052861546174789
1105	7	0.09689488884859543
1105	8	0.10889729231868728
1105	9	0.1390627024839688
1105	10-14	0.08552110952685155
1105	15-19	0.005619558445118855
1105	20-24	0.019746961351899017
1105	25-29	0.003750871586738924
1105	30-34	-0.020720685071083267
1105	35-39	-0.032299471106348676
1105	40-44	0.032958027823156044
1105	45-49	0.0032821914529321816
1105	50-54	0.004711868036878286
1105	55-59	0.047797520823465334
1105	60-64	-0.0061710637917471445
1105	65-69	0.019236033934589614
1105	70-74	0.012981369894930594
1105	75-79	0.02463855179389185
1105	80-84	0.02546438292067421
1105	85-89	0.03452960459225807
1105	90-94	0.04050637708738236
