"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSRA.1",639.100119349373,-0.971500074995817,0.137587009860749,-7.06098690551578,1.65324175741662e-12,1.78804454686751e-11
"DEFA5",0,NA,NA,NA,NA,NA
"OR10AC1",0,NA,NA,NA,NA,NA
".5377",87.0180733152816,0.0695915640256499,0.309256639172248,0.225028520687277,0.821957086905323,0.899779061682044
".5378",0.169118684444047,-1.10607685769562,4.0804728567969,-0.271065853520681,0.78634038363246,NA
"INAVAP1",0,NA,NA,NA,NA,NA
".5379",43.5474780558497,-0.846322904872749,0.457837642422863,-1.84852189172134,0.0645268804320074,0.141280668193912
".5380",0,NA,NA,NA,NA,NA
".5381",2.55843734287007,-1.13696187349732,2.26825561134312,-0.501249448171356,0.616195577674349,0.759530020389927
"RPL12P17",0,NA,NA,NA,NA,NA
"TMEM249",28.7591919272945,-1.26520973623611,0.630682505208401,-2.00609613519887,0.0448459921323457,0.104400318649297
"RPS28P1",0,NA,NA,NA,NA,NA
".5382",0,NA,NA,NA,NA,NA
".5383",1.7385385537003,-4.31335828939787,2.76518070079644,-1.55988297189964,0.118787539161688,NA
"SGPP1",1305.16594281402,0.169732140992334,0.0941653380114289,1.8024906465236,0.0714682449961441,0.153364396313459
".5384",6.4983747268417,6.07077156719708,3.91325222503641,1.55133664228367,0.120821029995471,0.231840768879835
".5385",0,NA,NA,NA,NA,NA
".5386",0,NA,NA,NA,NA,NA
"ABCF2-H2BK1",824.61301688069,0.199599050452223,0.156125673610284,1.27845117229378,0.20109039074034,0.34618340107631
"OR2R1P",0,NA,NA,NA,NA,NA
"CHMP4A.1",53.2149737380133,0.511512968642474,0.45576833256795,1.12230914719423,0.261731018270313,0.420775946405118
".5387",0,NA,NA,NA,NA,NA
".5388",75.0816948194302,-1.61899008437125,0.554692859979874,-2.91871448359727,0.00351477986502957,0.0114244971569992
"RNA5SP383",0,NA,NA,NA,NA,NA
".5389",0.176155594469255,-1.10607685769562,4.0804728567969,-0.271065853520681,0.78634038363246,NA
"DUSP5P1",33.3341749387221,0.462683660296987,0.521336183215134,0.887495775650117,0.374812039531121,0.5452379220461
"C6orf52.1",59.7920197358808,-0.216103474163786,0.424186160822914,-0.509454324828866,0.610433806137323,0.755200207156374
"OR7E10P",0.722221169275123,-3.04234334308341,3.97100921253652,-0.766138575926417,0.443593851863346,NA
"DEFA4",0,NA,NA,NA,NA,NA
"FTH1P2",3.58574353179259,2.06211989733433,1.51368773814788,1.36231525523058,0.173098415273404,0.30938723161091
".5390",0.320055630545131,1.72516358033419,4.0367139735957,0.427368297981613,0.669111094202377,NA
"FITM1.1",1.00393707792422,2.25712271996697,3.04189981452145,0.74201086741644,0.458080751268518,NA
".5391",0,NA,NA,NA,NA,NA
"NOP9",2268.9027317425,0.460471801893787,0.0725809704676904,6.34424972450275,2.2351201896352e-10,2.01240969942821e-09
"NOBOX.1",0,NA,NA,NA,NA,NA
".5392",0,NA,NA,NA,NA,NA
".5393",4.65130245796473,-5.72971484608277,1.77629434762282,-3.22565618347586,0.00125684239846893,0.00454215314511768
".5394",0,NA,NA,NA,NA,NA
"VPS28.1",1323.27753697427,-1.06967296796058,0.115431020537023,-9.26677216387857,1.91864295027279e-20,3.71367289108417e-19
"TAS2R60",0.180555292318781,-1.10607685769562,4.0804728567969,-0.271065853520681,0.78634038363246,NA
"RNA5SP116",0,NA,NA,NA,NA,NA
"PPP1R3B.1",0,NA,NA,NA,NA,NA
"CTRB1.1",0,NA,NA,NA,NA,NA
"TGM1",61.4756306792586,0.253955389037109,0.349109083306248,0.727438503266706,0.466957374895738,0.633842020553331
".5395",0,NA,NA,NA,NA,NA
".5396",0,NA,NA,NA,NA,NA
"TCAF2P1.1",7.02736708006135,-0.306908497845166,0.941801001443151,-0.3258740406677,0.744519657078733,0.851224236586247
"LONRF1.1",231.725219406329,-0.642588906537173,0.217356954815838,-2.95637610069401,0.00311277265459657,0.0102505114117547
"MTRF1LP2",0.176155594469255,-1.10607685769562,4.0804728567969,-0.271065853520681,0.78634038363246,NA
"RPL10P19",0,NA,NA,NA,NA,NA
"OOSP4A",0,NA,NA,NA,NA,NA
"EMC9",231.802751582674,0.900703422719255,0.192131375511313,4.68795593807748,2.75947410763905e-06,1.55691035126023e-05
"RIPK3",0.52873211139248,-2.594595754518,3.99412001547938,-0.64960385378069,0.515948143111329,NA
"RPS3AP33.1",0.361110584637562,-2.03977528779318,4.03444934503584,-0.505589515035803,0.613144843639775,NA
".5397",18.9177484574047,0.872458948526001,0.618417857813834,1.41079197099875,0.158305962623758,0.288164401150964
"LRTM2",1.19360847829487,-0.676761858653123,2.54900659692992,-0.265500238197983,0.790624126383334,NA
".5398",0,NA,NA,NA,NA,NA
"ATP5IF1",464.675200275268,-1.03198081731607,0.13691539078589,-7.53736166104137,4.79574944433673e-14,5.9147576480153e-13
"CAPZA1P5",0.544016285758336,-2.63195024113727,3.99196979567597,-0.65931116111854,0.509695976735019,NA
".5399",0,NA,NA,NA,NA,NA
".5400",0,NA,NA,NA,NA,NA
".5401",0,NA,NA,NA,NA,NA
"OR11J6P",0,NA,NA,NA,NA,NA
".5402",54.2129719943392,-5.11845245299803,1.84997219406014,-2.76677264092523,0.00566142233104152,0.0174683106509928
".5403",0,NA,NA,NA,NA,NA
".5404",0,NA,NA,NA,NA,NA
".5405",0,NA,NA,NA,NA,NA
".5406",0,NA,NA,NA,NA,NA
"SNRPCP15.1",0,NA,NA,NA,NA,NA
"OR7E15P.1",0,NA,NA,NA,NA,NA
"PDGFRL2P",0,NA,NA,NA,NA,NA
"OOSP2.1",0,NA,NA,NA,NA,NA
"NEDD8-MDP1",13.1692864403478,-0.0136183776958707,0.831591131054261,-0.0163762902071909,0.986934194887275,0.992512084963217
"RNF187",1476.24224749935,-0.76337613184025,0.118112637189931,-6.46311986593526,1.02565981892369e-10,9.52746898392378e-10
".5407",0,NA,NA,NA,NA,NA
"DEFB131E",0.541665876956342,-2.62641370384114,3.99224547297695,-0.657878810714179,0.510616007338905,NA
"DEFB4B.2",0.181957048026604,-1.11351485367151,4.0804728567969,-0.272888680491212,0.784938788064909,NA
