"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MTMR7",77.0686408459593,-1.00961806721229,0.490067442950544,-2.06016147723198,0.0393831062999723,0.0936994846652244
"SLC7A2",3009.03165039615,-0.879904971349719,0.079475453347933,-11.0714055004834,1.72670941475419e-28,5.17865494271416e-27
"ARF5",929.743700005588,-0.04030186379267,0.140430724396311,-0.286987509079095,0.774121884443832,0.871336199637959
"SARM1",118.698856058923,0.325416693003407,0.389088662629893,0.836356142591974,0.402954577674665,0.573621148763343
"POLDIP2",4538.11938230842,-0.0833264024438764,0.0680895806264195,-1.22377611489569,0.221036697042066,0.370537957889576
"PLXND1",1274.82436759262,-0.0528496931474421,0.146980917554853,-0.359568398582888,0.719169919324314,0.832876310137389
"AK2",5330.65149962741,-0.465676292347035,0.0866181609615701,-5.3761969450453,7.60755765580107e-08,5.26803884163529e-07
"CD38",11.5900238096493,-0.403954487888121,0.810996737655644,-0.498096316707557,0.618416156549188,0.761226916823721
"FKBP4",4520.62065255721,0.315738788770122,0.0650716653817799,4.85217009458205,1.22117815766129e-06,7.27285873293702e-06
"KDM1A",4427.13022878015,-0.749623631668471,0.0767936907791073,-9.76152629289196,1.64658201565521e-22,3.63095093163617e-21
"RBM6",1697.0862318717,0.0268665789518017,0.0937981678752953,0.286429677256818,0.774549047262942,0.871419907846863
"CAMKK1",303.680801045308,-1.0568337278234,0.166166312263356,-6.36009617971441,2.01627458536815e-10,1.83037323542589e-09
"RECQL",1994.95396382674,-0.0204586227024119,0.0876871038235837,-0.233313928848332,0.815517643382735,0.896078282286762
"VPS50",867.92158104146,0.169808509662369,0.112965951736414,1.50318310121078,0.132791833999152,0.250033906421158
"HSPB6",2.73351907274024,1.30776154322157,1.78383607607333,0.733117555341904,0.46348673373028,0.630567572502241
"ARHGAP33",395.243162729764,1.63100625524652,0.170175183190893,9.58427794619704,9.31065971601857e-22,1.95969873663505e-20
"NDUFAB1",914.97287424173,0.0182931026038661,0.116756004474487,0.156678045691976,0.875498590364474,0.932312634855528
"PDK4",100.425199591001,1.61783198759495,0.480208590203747,3.36901925662871,0.000754361583622814,0.00284565461089739
"SLC22A16",0.492426791626613,0.753789316746842,4.03912563089572,0.186621904251015,0.851957091356647,NA
"ZMYND10",3.51821884964681,-0.157943806031552,1.57236768784931,-0.100449664065272,0.919987342891706,0.955149902606436
"ABCB5",26.5393803262039,0.341860232099814,0.562576323009482,0.607669071942177,0.543406979603296,0.700225651919344
"ARX",2.17283085201601,3.44238162756133,2.4348128196802,1.4138177685517,0.157415415077775,0.286810690440794
"SLC25A13",1347.93589939097,0.305281061737586,0.0949881445157617,3.21388593591203,0.00130951682704517,0.00470649452665008
"ST7",675.245220820842,0.0261735740107618,0.157948579879968,0.165709460829925,0.868385600332737,0.928676945713025
"CDC27",7690.77159364458,0.110475529327706,0.101942616241644,1.08370310082916,0.278496460328403,0.440397272833515
"SLC4A1",49.0400137692942,0.325147595905688,0.387438950948939,0.839222786220428,0.401344302903233,0.572116645593667
"CALCR",3.40518460217875,-0.657142713288021,1.38091325204366,-0.475875448595697,0.63416311418128,0.773322843240795
"HCCS",801.719238049377,-0.0859225450025048,0.128573706742787,-0.668274619898717,0.503958311058353,0.666245472908872
"DVL2",1932.19025877665,0.177047580951529,0.0938232395942292,1.88703333755296,0.0591558418222705,0.131237556176017
"PRSS22",1.38401544663208,-1.87660192961174,2.68297507956677,-0.699448140202169,0.484272011789988,NA
"UPF1",5757.06622723532,0.125761636445112,0.0739190470905054,1.70134277152046,0.0888786408038572,0.182912775087331
"SKAP2",703.335500553969,-0.61925026284317,0.122339695694328,-5.06172799702231,4.15473494442469e-07,2.63228070109099e-06
"SLC25A5",7763.35426861527,0.0307972388694897,0.0528150426417244,0.583114910621308,0.55981594676675,0.714974585017487
"MCUB",2067.5080824762,0.191957756743142,0.111033036404953,1.72883461497932,0.0838386990152548,0.174477813521978
"HOXA11",0.691423807296179,-1.64070611844761,3.95583321319114,-0.414756141127614,0.678320429508531,NA
"DHX33",3592.98085060778,-0.549674826940158,0.0726284254570788,-7.56831534596601,3.78095270680632e-14,4.7261908835079e-13
"MEOX1",0.54642476695296,2.49968472955035,3.98811752086923,0.626783116713555,0.530801411977788,NA
"THSD7A",0,NA,NA,NA,NA,NA
"LIG3",2778.05645033376,-0.176159186217769,0.0930734552767222,-1.89268987268195,0.0583991239832339,0.129919570127258
"RPAP3",1342.79865398244,-0.016082072746349,0.107056359405905,-0.150220620574007,0.880590557628158,0.934755504949052
"ACSM3",24.5571132044708,0.722478054275605,0.700407450442612,1.03151109232068,0.302301209251447,0.468062003689007
"REXO5",134.97504310611,0.98593049718264,0.265256597458981,3.71689340294394,0.000201687487774051,0.000848004209959078
"CIAPIN1",1721.57908898498,0.153890902426139,0.082488126410045,1.86561277511812,0.0620955609774318,0.136621117198093
"SPPL2B",1039.93212905198,0.73153609837689,0.113387572762104,6.45164263205203,1.10644245593489e-10,1.02453773251084e-09
"ATOSB",644.484169870016,-0.178747370176107,0.117224940840578,-1.52482371835185,0.127303072317649,0.242059017200334
"COPZ2",2.36795248619969,-0.619669059991381,1.9047528249931,-0.325327807293646,0.7449329873513,0.851358905754916
"MSL3",900.41763974478,-0.377879604322423,0.120313355666967,-3.14079515302034,0.00168489836529234,0.00590705939956371
"CREBBP",4025.7591459768,-0.204348421790891,0.0861593141147538,-2.37175079549407,0.017704027037361,0.0474456046327568
"TSPOAP1",23.2595658271127,0.749619866480769,0.6621042224227,1.1321780485523,0.257559586957813,0.415923991681908
"MPO",0.160027815272565,0.817476493946864,4.0804728567969,0.200338667266266,0.841215723376499,NA
"PON1",1.91385294516039,-4.45211270157077,2.47096637849922,-1.80176984207888,0.0715816244123575,NA
"GCFC2",1143.8356632464,-0.170238166265647,0.0990606612049783,-1.71852442932303,0.0857010024646987,0.177533606590886
"WDR54",806.334010064769,-0.623217414081597,0.103384306401336,-6.02816264648794,1.65834118832785e-09,1.38919668183326e-08
